name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
Unbreak a Heartache,0.00571,0.62,0.897,0.000254,0.101,-3.929,0.028,101.98,0.691,4
Hole In A Bottle,0.047,0.686,0.796,0.0,0.156,-5.532,0.03,112.987,0.733,4
The Life,0.57,0.797,0.53,0.000202,0.107,-8.876,0.025,101.953,0.722,4
Runnin' Block,0.345,0.584,0.755,7.72e-05,0.101,-7.31,0.042,103.995,0.642,5
Beautiful Eyes,0.000893,0.595,0.798,4.59e-06,0.333,-5.037,0.0337,140.023,0.7,4
Call Me Country,0.00227,0.498,0.784,8.03e-05,0.234,-4.58,0.0324,151.891,0.499,3
Lady May,0.881,0.539,0.16,0.000268,0.105,-13.285,0.0329,81.446,0.322,4
Good Day,0.0356,0.514,0.685,9.73e-06,0.157,-7.27,0.0307,85.017,0.393,4
Magnolia,0.0335,0.595,0.715,0.0,0.0729,-6.124,0.0337,83.015,0.677,4
The One I Loved Back Then,0.519,0.636,0.479,0.0,0.408,-11.555,0.0812,159.433,0.935,4
Alright,0.0527,0.601,0.806,0.0,0.185,-4.579,0.0345,89.87,0.711,4
Where the Heart Is,0.111,0.518,0.611,1.74e-05,0.109,-8.812,0.0317,87.116,0.257,4
Keep The Wolves Away,0.52,0.682,0.351,0.00059,0.11,-10.276,0.0318,122.207,0.144,4
