name,uri,genres
I Hope That's Me,7BANaqYpeM80lMJAszNUh9,"['contemporary country', 'country', 'country road']"
Heart Like A Wheel,4bXo5s1XC6w9tLyOKykxSz,"['contemporary country', 'country', 'country road']"
Homemade,31JID2STTlLuFqXFWHyM8e,"['contemporary country', 'country', 'country road', 'modern country rock']"
You're Gonna Miss This,7Efs0OIW6zgQyH7ehKZYpN,"['contemporary country', 'country', 'country road', 'country rock', 'modern country rock', 'redneck']"
Watching You,5OusUgzHz6Ulb3GZT7WUo5,"['contemporary country', 'country', 'country road', 'modern country rock']"
What I Almost Was,1BGeARBsKpOjeNACiu6ZSZ,"['contemporary country', 'country', 'country road']"
Deeper Than the Holler,3xx0jE52PbtvwXgNaBUdch,"['contemporary country', 'country', 'country gospel', 'country road', 'country rock']"
Goin' Goin' Gone,40tuNJI1oMnRmg8esXBNBC,"['contemporary country', 'country', 'country road', 'country rock']"
What Are You Listening To?,3KZw9g7PNBBx66sHNqme6Z,"['contemporary country', 'outlaw country']"
If I Could Do It Again,33m6cNCpgX3oKb8xBH7iyk,"['contemporary country', 'country road', 'modern country rock']"
She Likes the Beatles,38iGqJQPZcTYNx6bdR5YWC,"['red dirt', 'texas country']"
She's Like Texas,7k0ahlHosIWblaaIsEqJ8M,"['contemporary country', 'country road', 'modern country rock', 'red dirt', 'texas country']"
Birds,5J6EE1wlwZbMB4MBndUGEC,"['modern southern rock', 'outlaw country', 'texas country']"
21 Summer,483beWfErq5MZAvC0fJ7cr,"['contemporary country', 'country', 'country road', 'modern country rock']"
Who You'd Be Today,5Vkdh8GfdXmwyJjzPewMWM,"['contemporary country', 'country', 'country road']"
White Trash Story,6h0FOQxhnq0iqVsf0I9WsZ,"['contemporary country', 'texas country']"
Burning House,1EPmjXdSdJgP08mrrmnw7h,"['hip hop', 'rap', 'trap']"
Cold Beer Calling My Name,3dV1fjKOlLnaNK5MeZHXGv,"['contemporary country', 'country pop']"
Must've Never Met You,6ojicjDYUUoeE1tdSvfFo4,['contemporary country']
